         262244 function calls (260113 primitive calls) in 0.402 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.040    0.007    0.045    0.007 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_histograms_impl.py:686(histogram)
     6147    0.031    0.000    0.056    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\bezier.py:208(__call__)
     6147    0.029    0.000    0.046    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\bezier.py:199(__init__)
        3    0.025    0.008    0.026    0.009 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\gui\rasterview.py:56(make_rgb_image)
        9    0.023    0.003    0.023    0.003 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\utils.py:168(normalize_ndarray)
    12294    0.022    0.000    0.022    0.000 {method 'outer' of 'numpy.ufunc' objects}
        3    0.016    0.005    0.153    0.051 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_base.py:2419(_update_patch_limits)
        9    0.012    0.001    0.069    0.008 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\gui\rasterview.py:25(make_channel_image)
      249    0.012    0.000    0.012    0.000 {method 'astype' of 'numpy.ndarray' objects}
        9    0.011    0.001    0.011    0.001 {built-in method osgeo._gdal_array.BandRasterIONumPy}
     6150    0.011    0.000    0.067    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\path.py:413(iter_bezier)
        3    0.010    0.003    0.294    0.098 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\gui\stretch_builder.py:323(_update_histogram)
    18651    0.010    0.000    0.010    0.000 {built-in method numpy.array}
     6147    0.009    0.000    0.012    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\bezier.py:203(<listcomp>)
       18    0.007    0.000    0.007    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\_core\_methods.py:100(_clip)
        3    0.007    0.002    0.102    0.034 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\gui\rasterview.py:478(update_display_image)
     6147    0.005    0.000    0.010    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\bezier.py:283(axis_aligned_extrema)
    13173    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
        9    0.004    0.000    0.008    0.001 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\stretch.py:181(apply)
     6150    0.004    0.000    0.004    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\path.py:347(iter_segments)
        1    0.004    0.004    0.004    0.004 {built-in method builtins.print}
     6150    0.004    0.000    0.004    0.000 {built-in method numpy.arange}
    36873    0.003    0.000    0.003    0.000 {built-in method math.factorial}
      453    0.002    0.000    0.009    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:1173(_update_props)
      945    0.002    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:182(set_children)
      363    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      375    0.002    0.000    0.004    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\cbook.py:1795(normalize_kwargs)
        3    0.002    0.001    0.002    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\_core\shape_base.py:81(atleast_2d)
     1413    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
4962/4014    0.002    0.000    0.003    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:316(stale)
