         25905013 function calls (25905010 primitive calls) in 65.861 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5321   17.395    0.003   17.401    0.003 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\spectrum.py:56(find_rectangles_in_row)
        6    8.270    1.378    8.270    1.378 {built-in method osgeo._gdal_array.DatasetIONumPy}
        1    5.114    5.114   65.232   65.232 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\spectrum.py:158(calc_spectrum_fast)
        1    4.168    4.168    4.168    4.168 {built-in method numpy.asanyarray}
       20    4.081    0.204    7.711    0.386 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\selection.py:191(get_all_pixels)
        1    3.721    3.721   11.480   11.480 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\spectrum.py:138(create_raster_from_pixels)
 20658374    3.625    0.000    3.625    0.000 {method 'add' of 'set' objects}
        2    2.538    1.269    2.538    1.269 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\roi.py:88(<listcomp>)
     6616    2.416    0.000    2.416    0.000 {built-in method numpy.array}
        6    2.309    0.385   11.762    1.960 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\dataset.py:425(get_all_bands_at_rect)
        2    2.278    1.139    2.278    1.139 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\roi.py:89(<listcomp>)
        9    2.168    0.241    2.170    0.241 {method 'reduce' of 'numpy.ufunc' objects}
       20    1.439    0.072    1.439    0.072 {method 'update' of 'set' objects}
        1    1.326    1.326    8.183    8.183 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
    16/13    1.264    0.079   11.724    0.902 {built-in method numpy.core._multiarray_umath.implement_array_function}
        6    1.170    0.195    1.170    0.195 {method 'copy' of 'numpy.ndarray' objects}
        1    0.629    0.629   65.861   65.861 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\spectrum.py:286(calc_roi_spectrum)
        4    0.409    0.102    0.409    0.102 {built-in method builtins.min}
        4    0.406    0.102    9.556    2.389 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\roi.py:74(get_all_pixels)
        1    0.384    0.384   10.737   10.737 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\nanfunctions.py:952(nanmean)
        4    0.366    0.091    0.366    0.091 {built-in method builtins.max}
  5161858    0.334    0.000    0.334    0.000 {method 'append' of 'list' objects}
        2    0.022    0.011   17.426    8.713 C:\Users\jgarc\OneDrive\Documents\Schmidt-Code\WISER\src\wiser\raster\spectrum.py:73(raster_to_combined_rectangles_x_axis)
       16    0.006    0.000    0.006    0.000 {built-in method builtins.print}
